|Run	|Condition	|Block	$RunName	#DA	#ACh	#VSPatch	#LHbDip	#DipSum	#GiveUp	#LHbBurst	#PVpos	#PVneg	#SC	#C0_CS_DA	#C0_CS_VSPatch	#C0_US_DA	#C0_US_VSPatch	#C1_CS_DA	#C1_CS_VSPatch	#C1_US_DA	#C1_US_VSPatch
0	1	28	Base	0.01516	1	0.001388	0.001388	0.001388	0	0	0	0	0	0.0202	0	0.02838	0.003231	0.01528	0	0.0187	0.01338
0	1	29	Base	0.01309	1	0.004333	0.004333	0.004333	0	0	0	0	0	0.01752	0	0.02506	0.0128	0.01275	0	0.02234	0.009649
0	1	30	Base	0.0143	1	0.001461	0.001461	0.001461	0	0	0	0	0	0.02005	0	0.00903	0.02238	0.01791	0	0.02826	0.007122
0	1	31	Base	0.01231	1	0.004376	0.004376	0.004376	0	0	0	0	0	0.01776	0	0.02383	0.01757	0.01275	0	0.03527	0
0	1	32	Base	0.01517	1	0.002511	0.002511	0.002511	0	0	0	0	0	0.02605	0	0.02276	0.0152	0.01561	0	0.02375	0.008281
0	1	33	Base	0.0123	1	0.003584	0.003584	0.003584	0	0	0	0	0	0.02005	0	0.02168	0.01319	0.01006	0	0.02901	0
0	1	34	Base	0.009799	1	0.00547	0.00547	0.00547	0	0	0	0	0	0.02025	0	0.0117	0.01975	0.01041	0	0.02787	0.001147
0	1	35	Base	0.01121	1	0.003887	0.004025	0.004598	0.01711	0	0	0	0.01493	0.01777	0	0.03161	0	0.01553	0	-0.008473	0.008455
0	1	36	Base	0.0003858	1	0.01276	0.01317	0.0138	0.04131	0	0	0	0.2222	0.01708	0	0.01691	0.01451	0.01255	0	0.008287	0
0	1	37	Base	0.007793	1	0.006528	0.006747	0.006747	0.02211	0	0	0	0.04063	0.01787	0	0.03161	0	0.01069	0	0.01574	0
0	1	38	Base	0.01323	1	0.002322	0.002322	0.002322	0	0	0	0	0	0.02045	0	-0.005144	0.0366	0.01031	0	0.02629	0
0	1	39	Base	0.01184	1	0.003217	0.003324	0.003324	0.01086	0	0	0	0.01493	0.02005	0	0.03167	0	0.01012	0	0.01288	0
0	1	40	Base	0.007466	1	0.007189	0.007189	0.007189	0	0	0	0	0	0.01737	0	0.008288	0.02316	0.007435	0	0.0262	0
0	1	41	Base	0.01388	1	0.001104	0.001104	0.001104	0	0	0	0	0	0.0201	0	0.02503	0.006426	0.007435	0	0.02044	0
0	1	42	Base	0.01498	1	0	0	0	0	0	0	0	0	0.02005	0	0.03146	0	0.009913	0	0.02044	0
0	1	43	Base	0.0125	1	0.00175	0.00175	0.00175	0	0	0	0	0	0.01508	0	0.03142	0	0.01572	0	0.02054	0
0	1	44	Base	0.009382	1	0.004646	0.004677	0.004677	0.003125	0	0	0	0	0.0202	0	0.01127	0.01753	0.009865	0	0.01291	0
0	1	45	Base	0.007489	1	0.007346	0.007346	0.007346	0	0	0	0	0.1496	0.0201	0	0.03161	0	0.01012	0	0.02036	0
0	1	46	Base	0.0144	1	0.001189	0.001189	0.001189	0	0	0	0	0	0.01751	0	0.01598	0.01873	0.01012	0	0.02054	0
0	1	47	Base	0.01216	1	0.003954	0.003954	0.003954	0	0	0	0	0	0.004025	0.01602	0.01435	0.02052	0.01006	0	0.02044	0
0	1	48	Base	0.0135	1	0.001712	0.001712	0.001712	0	0	0	0	0	-0.001933	0.02198	0.03161	0	0.007435	0	0.02054	0
0	1	49	Base	0.01719	1	0.008548	0.008615	0.008962	0.006696	0	0	0	0.01492	-0.03913	0.05397	0.3273	0.002816	0.1629	0	0.01816	0.005181
