|Run	|Epoch	$RunName	#Rew	#RewPred	#RewPred_NR	#DA	#DA_NR	#PerTrlMSec	#Cond_0_Rew	#Cond_0_RewPred	#Cond_0_DA	#Cond_0_RewPred_NR	#Cond_0_DA_NR	#Cond_1_Rew	#Cond_1_RewPred	#Cond_1_DA	#Cond_1_RewPred_NR	#Cond_1_DA_NR	#Cond_2_Rew	#Cond_2_RewPred	#Cond_2_DA	#Cond_2_RewPred_NR	#Cond_2_DA_NR	#Cond_3_Rew	#Cond_3_RewPred	#Cond_3_DA	#Cond_3_RewPred_NR	#Cond_3_DA_NR
0	40	Base	0.4806	0.4708	0.02068	0.009753	-0.006887	6.728	0.2909	0.205	0.08589	0.02419	0	0.3752	0.387	-0.01181	0	0	0.5578	0.5447	0.01311	0.03096	0	0.6983	0.7465	-0.04818	0.02755	-0.02755
0	41	Base	0.4454	0.4564	0.03476	-0.01095	-0.01295	6.617	0.5438	0.3629	0.1809	0.08591	-0.05179	0.6702	0.5405	0.1298	0.02372	0	0.319	0.4655	-0.1465	0.0294	0	0.2487	0.4567	-0.208	0	0
0	42	Base	0.4138	0.3926	0.02439	0.02127	-0.008255	6.871	0.5438	0.4638	0.07999	0.0568	-0.03302	0.6421	0.6278	0.01433	0.04075	0	0.319	0.2934	0.02555	0	0	0.1504	0.1852	-0.03479	0	0
0	43	Base	0.4665	0.4729	0.0311	-0.006403	-0.007018	6.956	0.5297	0.5722	-0.04249	0.05307	0	0.7264	0.7152	0.01127	0.07134	-0.02807	0.319	0.3519	-0.03295	0	0	0.2909	0.2523	0.03855	0	0
0	44	Base	0.456	0.4539	0.02326	0.002083	0	7.209	0.4876	0.5358	-0.04824	0.04255	0	0.7264	0.7091	0.01737	0.05048	0	0.3752	0.3487	0.0265	0	0	0.2347	0.222	0.0127	0	0
0	45	Base	0.4419	0.4453	0.02034	-0.003351	0	6.893	0.5297	0.4825	0.04723	0.02607	0	0.7124	0.7043	0.008127	0.0553	0	0.3049	0.3415	-0.03655	0	0	0.2206	0.2529	-0.03221	0	0
0	46	Base	0.4981	0.477	0.02787	0.02116	-0.008193	6.448	0.614	0.5759	0.03816	0.05046	-0.03277	0.7264	0.7333	-0.00683	0.06102	0	0.5016	0.4383	0.06332	0	0	0.1504	0.1604	-0.01001	0	0
0	47	Base	0.463	0.4691	0.015	-0.006113	0	6.516	0.614	0.5898	0.02421	0.02289	0	0.6562	0.6902	-0.03405	0.03712	0	0.3892	0.3848	0.004455	0	0	0.1925	0.2116	-0.01907	0	0
0	48	Base	0.47	0.4508	0.01052	0.01928	0	6.375	0.5438	0.5596	-0.01585	0.008244	0	0.7264	0.6829	0.04355	0.03383	0	0.4033	0.377	0.02626	0	0	0.2066	0.1834	0.02315	0	0
0	49	Base	0.4771	0.4626	0.01121	0.01442	0	6.687	0.5719	0.5331	0.03882	0.000515	0	0.7124	0.7101	0.002256	0.04432	0	0.4033	0.3954	0.007895	0	0	0.2206	0.2119	0.008708	0	0
0	50	Base	0.449	0.4686	0.01748	-0.01964	0	6.672	0.5297	0.5758	-0.04607	0.03102	0	0.6843	0.684	0.0003101	0.03888	0	0.4173	0.4391	-0.02177	0	0	0.1644	0.1755	-0.01101	0	0
0	51	Base	0.463	0.4537	0.01472	0.009299	0	7.063	0.5578	0.5465	0.01132	0.01282	0	0.7124	0.7215	-0.009129	0.04606	0	0.3611	0.3452	0.01593	0	0	0.2206	0.2016	0.01907	0	0
0	52	Base	0.4981	0.4955	0.01328	0.002664	0	6.233	0.5438	0.5489	-0.005097	0.009775	0	0.7826	0.7393	0.04333	0.04333	0	0.4173	0.421	-0.003689	0	0	0.2487	0.2726	-0.02389	0	0
0	53	Base	0.4876	0.4826	0.02626	0.005043	-0.007719	6.234	0.6281	0.5851	0.04298	0.03032	0	0.7405	0.7773	-0.03679	0.07472	-0.03088	0.3752	0.3911	-0.01588	0	0	0.2066	0.1767	0.02986	0	0
0	54	Base	0.4981	0.4993	0.01431	-0.001145	0	6.91	0.614	0.6419	-0.02783	0.03903	0	0.7826	0.7185	0.0641	0.0182	0	0.3892	0.4091	-0.01987	0	0	0.2066	0.2276	-0.02098	0	0
0	55	Base	0.4595	0.4665	0.007886	-0.007005	0	6.413	0.5016	0.5109	-0.009229	0.004566	0	0.7264	0.7445	-0.0181	0.02698	0	0.333	0.3674	-0.03434	0	0	0.2768	0.2432	0.03365	0	0
0	56	Base	0.4665	0.4564	0.01161	0.01015	0	6.688	0.5578	0.5318	0.02602	0.00455	0	0.7545	0.7704	-0.01584	0.04188	0	0.3892	0.3193	0.06999	0	0	0.1644	0.204	-0.03957	0	0
0	57	Base	0.4665	0.467	0.007342	-0.0004741	0	6.135	0.5578	0.5645	-0.006678	0.01631	0	0.7264	0.7233	0.003111	0.01306	0	0.4173	0.4309	-0.01356	0	0	0.1644	0.1492	0.01523	0	0
0	58	Base	0.4771	0.4843	0.01526	-0.007238	0	6.811	0.5719	0.5946	-0.02272	0.02324	0	0.7545	0.7738	-0.01926	0.03781	0	0.3471	0.3539	-0.006773	0	0	0.2347	0.2149	0.0198	0	0
0	59	Base	0.4735	0.4697	0.002762	0.003867	0	7.106	0.6	0.5469	0.05314	0.01105	0	0.6562	0.6448	0.01142	0	0	0.4033	0.4163	-0.01303	0	0	0.2347	0.2708	-0.03607	0	0
0	60	Base	0.5016	0.497	0.0137	0.004602	-0.007199	6.635	0.6	0.6064	-0.006357	0.03761	-0.02879	0.7264	0.7503	-0.02387	0.01721	0	0.4173	0.3801	0.03728	0	0	0.2628	0.2514	0.01136	0	0
0	61	Base	0.4103	0.4209	0	-0.0106	0	7.02	0.2909	0.4442	-0.1533	0	0	0.2066	0.3945	-0.1879	0	0	0.4454	0.3919	0.05359	0	0	0.6983	0.4532	0.2452	0	0
0	62	Base	0.4771	0.4778	0.01228	-0.000758	0	6.284	0.4033	0.3871	0.01618	0	0	0.1644	0.1599	0.004516	0	0	0.614	0.6137	0.000324	0.04227	0	0.7264	0.7505	-0.02405	0.006847	0
0	63	Base	0.4384	0.4129	0.002917	0.02547	0	6.655	0.3752	0.3475	0.02766	0	0	0.1223	0.1478	-0.0255	0	0	0.4735	0.4139	0.05962	0.007529	0	0.7826	0.7425	0.04011	0.004141	0
0	64	Base	0.4595	0.4801	0.00285	-0.02056	0	6.674	0.4033	0.4735	-0.07024	0	0	0.1223	0.116	0.006322	0	0	0.4876	0.5122	-0.02463	0.003493	0	0.8248	0.8185	0.006308	0.007906	0
0	65	Base	0.449	0.4462	0.003802	0.00278	0	6.14	0.3471	0.3191	0.02804	0	0	0.1925	0.1581	0.03441	0	0	0.5157	0.5364	-0.02066	0.009024	0	0.7405	0.7712	-0.03067	0.006186	0
0	66	Base	0.4525	0.4323	0.001054	0.02014	0	6.58	0.3611	0.3724	-0.01129	0	0	0.2066	0.1775	0.02909	0	0	0.5157	0.4718	0.04387	0.003785	0	0.7264	0.7076	0.01887	0.0004327	0
0	67	Base	0.4068	0.4377	0.003648	-0.03084	0	6.84	0.2768	0.3177	-0.04083	0	0	0.1223	0.1926	-0.07027	0	0	0.4595	0.4811	-0.02158	0.01189	0	0.7686	0.7593	0.009312	0.002702	0
0	68	Base	0.4244	0.4207	0.01102	0.003682	-0.008698	5.954	0.2768	0.2849	-0.008084	0	0	0.1363	0.1524	-0.01609	0	0	0.6281	0.5703	0.05778	0.03746	-0.03479	0.6562	0.6751	-0.01888	0.006605	0
0	69	Base	0.5122	0.4757	0.007033	0.03647	0	6.362	0.4314	0.3384	0.09298	0	0	0.2206	0.2046	0.016	0	0	0.6562	0.6323	0.02393	0.01363	0	0.7405	0.7275	0.01298	0.0145	0
0	70	Base	0.4525	0.4595	0.00135	-0.006984	0	6.812	0.3752	0.4117	-0.03646	0	0	0.1785	0.1426	0.03586	0	0	0.5578	0.5704	-0.01252	0	0	0.6983	0.7131	-0.0148	0.005402	0
0	71	Base	0.47	0.4837	0.00885	-0.01367	-0.006449	7.474	0.333	0.3465	-0.01343	0	0	0.1925	0.2448	-0.05222	0	0	0.614	0.6359	-0.02183	0.0258	-0.0258	0.7405	0.7077	0.03282	0.009604	0
0	72	Base	0.4665	0.4461	0.002852	0.02047	0	6.535	0.3611	0.3659	-0.004715	0	0	0.2347	0.1516	0.08312	0	0	0.5157	0.5219	-0.006226	0	0	0.7545	0.7449	0.009685	0.01141	0
0	73	Base	0.4279	0.4328	0.001824	-0.004939	0	6.769	0.2909	0.3139	-0.02302	0	0	0.1223	0.177	-0.05469	0	0	0.5438	0.4545	0.08925	0	0	0.7545	0.7858	-0.0313	0.007295	0
0	74	Base	0.4454	0.437	0.003768	0.008409	0	7.302	0.4876	0.4057	0.08194	0	0	0.1785	0.1395	0.03897	0	0	0.4735	0.5386	-0.06502	0.00891	0	0.6421	0.6644	-0.02224	0.006161	0
0	75	Base	0.4806	0.4766	0.003573	0.003935	0	5.81	0.4314	0.445	-0.0136	0	0	0.1785	0.2115	-0.03303	0	0	0.5016	0.4974	0.004294	0.004977	0	0.8107	0.7527	0.05808	0.009316	0
0	76	Base	0.4525	0.4416	0.003284	0.01088	0	6.883	0.3752	0.3794	-0.004233	0	0	0.1925	0.1786	0.01394	0	0	0.5438	0.467	0.07679	0	0	0.6983	0.7413	-0.04299	0.01314	0
0	77	Base	0.4911	0.5056	0.005204	-0.01448	0	6.164	0.4454	0.4333	0.0121	0	0	0.1785	0.1797	-0.001162	0	0	0.5719	0.6503	-0.07839	0.01082	0	0.7686	0.759	0.009543	0.009997	0
0	78	Base	0.4665	0.4613	0.00418	0.005172	0	6.823	0.3752	0.4012	-0.02605	0	0	0.1785	0.158	0.0205	0	0	0.5438	0.5164	0.02739	0.002933	0	0.7686	0.7697	-0.001146	0.01379	0
0	79	Base	0.4771	0.4863	0.004778	-0.009284	0	7.326	0.5016	0.4957	0.005973	0	0	0.1785	0.1974	-0.01887	0	0	0.5578	0.5664	-0.008519	0	0	0.6702	0.686	-0.01572	0.01911	0
0	80	Base	0.4173	0.4166	9.656e-05	0.0007444	0	6.653	0.2628	0.3651	-0.1023	0	0	0.2487	0.2076	0.04112	0	0	0.4314	0.4179	0.01347	0	0	0.7264	0.6758	0.05068	0.0003862	0
0	81	Base	0.47	0.4495	0	0.02049	0	7.047	0.2066	0.1935	0.01307	0	0	0.6983	0.5319	0.1665	0	0	0.3471	0.4425	-0.09539	0	0	0.6281	0.6303	-0.002183	0	0
0	82	Base	0.5087	0.4935	0	0.01519	0	6.475	0.2628	0.2559	0.006919	0	0	0.7826	0.7028	0.07985	0	0	0.3611	0.3728	-0.01165	0	0	0.6281	0.6424	-0.01435	0	0
0	83	Base	0.3787	0.4224	0.004266	-0.04369	0	6.106	0.1363	0.1483	-0.01193	0	0	0.6562	0.7344	-0.07823	0.01706	0	0.2487	0.2708	-0.02202	0	0	0.4735	0.5361	-0.06255	0	0
0	84	Base	0.4595	0.4333	0.00347	0.0262	0	6.245	0.1925	0.1907	0.001842	0	0	0.7405	0.7079	0.03264	0.008561	0	0.319	0.2817	0.03725	0	0	0.5859	0.5529	0.03306	0.005319	0
0	85	Base	0.4525	0.451	0.00178	0.001458	0	6.356	0.2066	0.2067	-9.726e-05	0	0	0.6983	0.6928	0.005506	0	0	0.3892	0.3396	0.0496	0	0	0.5157	0.5649	-0.04918	0.007118	0
0	86	Base	0.463	0.459	0.0003744	0.004037	0	6.25	0.1925	0.2078	-0.01521	0	0	0.6843	0.703	-0.01867	0	0	0.333	0.4107	-0.07763	0	0	0.6421	0.5145	0.1277	0.001498	0
0	87	Base	0.4806	0.4702	0.00466	0.01041	0	7.15	0.2206	0.2039	0.01679	0	0	0.7686	0.7231	0.04545	0.005872	0	0.3471	0.3022	0.04489	0	0	0.5859	0.6514	-0.0655	0.01277	0
0	88	Base	0.456	0.4484	0.003967	0.007609	0	6.185	0.2347	0.1935	0.04117	0	0	0.8107	0.8135	-0.002766	0.01587	0	0.2628	0.2724	-0.009594	0	0	0.5157	0.5141	0.001632	0	0
0	89	Base	0.4595	0.4643	0.001473	-0.004762	0	7.172	0.1504	0.2225	-0.07206	0	0	0.6843	0.7558	-0.07154	1.001e-05	0	0.4033	0.3238	0.07945	0	0	0.6	0.5549	0.0451	0.005882	0
0	90	Base	0.4349	0.4423	0.001572	-0.007342	0	6.705	0.1504	0.1617	-0.01132	0	0	0.7686	0.6636	0.105	0	0	0.3471	0.4216	-0.07455	7.868e-06	0	0.4735	0.522	-0.04845	0.006281	0
0	91	Base	0.4454	0.4432	0.003609	0.00222	0	6.617	0.1785	0.1425	0.03604	0	0	0.7124	0.7618	-0.04942	0.008318	0	0.3892	0.3208	0.06849	0	0	0.5016	0.5479	-0.04623	0.006119	0
0	92	Base	0.4946	0.4857	0.0009863	0.008883	0	6.72	0.2347	0.2215	0.01322	0	0	0.7826	0.7472	0.03547	0.001439	0	0.3892	0.4226	-0.03333	0	0	0.5719	0.5517	0.02017	0.002506	0
0	93	Base	0.449	0.4615	0.0007301	-0.0125	0	6.62	0.2487	0.2398	0.008948	0	0	0.7405	0.7503	-0.009823	0.00292	0	0.3611	0.3717	-0.01055	0	0	0.4454	0.484	-0.03858	0	0
0	94	Base	0.4384	0.4505	0	-0.01203	0	7.374	0.2347	0.2401	-0.005428	0	0	0.6983	0.7255	-0.02715	0	0	0.2628	0.3352	-0.0724	0	0	0.5578	0.501	0.05684	0	0
0	95	Base	0.4349	0.426	0.0001372	0.008937	0	6.75	0.1644	0.1901	-0.02567	0	0	0.7545	0.7576	-0.003034	0.0005486	0	0.333	0.2839	0.04914	0	0	0.4876	0.4723	0.01531	0	0
0	96	Base	0.4841	0.4795	0.001951	0.00454	0	6.791	0.1644	0.2007	-0.0363	0	0	0.8107	0.7677	0.043	0.003661	0	0.4033	0.3719	0.03143	0	0	0.5578	0.5778	-0.01997	0.004142	0
0	97	Base	0.47	0.4493	0.000787	0.0207	0	6.638	0.2066	0.1865	0.02009	0	0	0.7124	0.712	0.0004211	0.003072	0	0.4454	0.408	0.03749	0	0	0.5157	0.4909	0.0248	7.582e-05	0
0	98	Base	0.4454	0.462	0.0002764	-0.01659	0	7.004	0.1925	0.1843	0.008224	0	0	0.6702	0.7515	-0.08122	0.001106	0	0.4033	0.4108	-0.007463	0	0	0.5157	0.5016	0.0141	0	0
0	99	Base	0.4454	0.4562	3.219e-06	-0.01076	0	6.518	0.2206	0.2237	-0.003037	0	0	0.7264	0.6514	0.07502	0	0	0.3892	0.3993	-0.01005	0	0	0.4454	0.5504	-0.105	1.287e-05	0
