|Trial	#Hz[1:0]<1:4>	#Hz[1:1]	#Hz[1:2]	#Hz[1:3]	#State[1:0]<1:4>	#State[1:1]	#State[1:2]	#State[1:3]	#StdCa[1:0]<1:2>	#StdCa[1:1]	#PredCa[1:0]<1:2>	#PredCa[1:1]	#ErrCa[1:0]<1:2>	#ErrCa[1:1]	#SSE
0	10	10	20	100	0.10000000149011612	0	0.10000000149011612	0	0.12231456488370895	0.10704641789197922	0.06012866304253633	0.07348132282772077	0.062185901841172626	0.03356509506425845	0
1	10	10	20	100	0	0	0	0.4000000059604645	0.24481914937496185	0.1337980479001999	0.2452203841403416	0.11546113399407683	-0.0004012347653797599	0.018336913906123062	0
0	10	10	30	10	0	0.20000000298023224	0	0	0.05364276096224785	0.08422339707612991	0.05691454959418496	0.09668069925487405	-0.0032717886319371114	-0.012457302178744134	0
1	10	10	30	10	0	0.10000000149011612	0	0	0.04759779945015907	0.08016572892665863	0.02845727479709248	0.048340349627437024	0.019140524653066593	0.03182537929922161	0
0	10	10	30	20	0	0.20000000298023224	0	0.10000000149011612	0.1374237835407257	0.10845334827899933	0.11821964562927036	0.12554598275339326	0.019204137911455352	-0.017092634474393936	0
1	10	10	30	20	0	0.10000000149011612	0	0.10000000149011612	0.09646543115377426	0.08779589086771011	0.08976237083217788	0.07720563312595623	0.006703060321596385	0.010590257741753886	0
0	10	10	30	30	0	0.10000000149011612	0	0.20000000298023224	0.17352302372455597	0.14428535103797913	0.15106746686726327	0.10607091662447544	0.022455556857292697	0.03821443441350368	0
1	10	10	30	30	0	0.10000000149011612	0	0.20000000298023224	0.1678703874349594	0.14246638119220734	0.15106746686726327	0.10607091662447544	0.01680292056769614	0.03639546456773189	0
0	10	10	30	40	0	0.20000000298023224	0	0.20000000298023224	0.16914276778697968	0.12841111421585083	0.17952474166435575	0.15441126625191245	-0.010381973877376077	-0.026000152036061625	0
1	10	10	30	40	0	0.10000000149011612	0	0.20000000298023224	0.14987793564796448	0.10404738783836365	0.15106746686726327	0.10607091662447544	-0.001189531219298795	-0.0020235287861117973	0
0	10	10	30	50	0	0.10000000149011612	0	0.20000000298023224	0.19170700013637543	0.11739388853311539	0.15106746686726327	0.10607091662447544	0.040639533269112155	0.011322971908639942	0
1	10	10	30	50	0	0.10000000149011612	0	0.30000001192092896	0.12301123142242432	0.08808797597885132	0.21237256746993421	0.13493620227362582	-0.0893613360475099	-0.0468482262947745	0
0	10	10	30	60	0	0.20000000298023224	0	0.30000001192092896	0.24319064617156982	0.14377331733703613	0.2408298422670267	0.18327655190106285	0.0023608039045431295	-0.03950323456402671	0
1	10	10	30	60	0	0.20000000298023224	0	0.30000001192092896	0.24012693762779236	0.1487005054950714	0.2408298422670267	0.18327655190106285	-0.0007029046392343363	-0.034576046405991434	0
0	10	10	30	70	0	0.20000000298023224	0	0.4000000059604645	0.23181883990764618	0.11564674973487854	0.30213493373452655	0.2121418332489509	-0.07031609382688037	-0.09649508351407235	0
1	10	10	30	70	0	0.20000000298023224	0	0.30000001192092896	0.2400778830051422	0.1760389804840088	0.2408298422670267	0.18327655190106285	-0.0007519592618844828	-0.007237571417054056	0
0	10	10	30	80	0	0.10000000149011612	0.20000000298023224	0	0.2625519037246704	0.21073222160339355	0.13339171498601424	0.1453029945378205	0.12916018873865617	0.06542922706557305	0
1	10	10	30	80	0	0.20000000298023224	0	0.5	0.21514666080474854	0.10764246433973312	0.36344002520202645	0.2410071145968389	-0.14829336439727792	-0.13336465025710578	0
0	10	10	30	90	0	0.20000000298023224	0	0.5	0.2736484110355377	0.13832250237464905	0.36344002520202645	0.2410071145968389	-0.08979161416648873	-0.10268461222218986	0
1	10	10	30	90	0	0.10000000149011612	0	0.5	0.19479705393314362	0.12214794009923935	0.33498275040493397	0.19266676496940188	-0.14018569647179036	-0.07051882487016253	0
0	10	10	30	100	0	0	0.10000000149011612	0	0.09875276684761047	0.12272749841213226	0.052467220094460885	0.04848132245519174	0.04628554675314959	0.07424617595694052	0
1	10	10	30	100	0.10000000149011612	0	0.10000000149011612	0	0.13574878871440887	0.14822271466255188	0.06012866304253633	0.07348132282772077	0.07562012567187254	0.07474139183483111	0
0	10	10	40	10	0.10000000149011612	0	0.20000000298023224	0	0.11291469633579254	0.14781184494495392	0.11259588313699721	0.12196264528291251	0.00031881319879532855	0.02584919966204141	0
1	10	10	40	10	0	0.20000000298023224	0.20000000298023224	0	0.11452355235815048	0.148641437292099	0.16184898978310672	0.19364334416525752	-0.047325437424956235	-0.045001906873158526	0
0	10	10	40	20	0	0.10000000149011612	0	0.10000000149011612	0.11973894387483597	0.0950760692358017	0.08976237083217788	0.07720563312595623	0.029976573042658092	0.01787043610984547	0
1	10	10	40	20	0	0.20000000298023224	0	0.10000000149011612	0.09116557240486145	0.1121380403637886	0.11821964562927036	0.12554598275339326	-0.027054073224408906	-0.01340794238960466	0
0	10	10	40	30	0	0.20000000298023224	0	0.10000000149011612	0.18170861899852753	0.14128929376602173	0.11821964562927036	0.12554598275339326	0.06348897336925717	0.015743311012628464	0
1	10	10	40	30	0	0.20000000298023224	0	0.10000000149011612	0.15776462852954865	0.14356893301010132	0.11821964562927036	0.12554598275339326	0.03954498290027829	0.018022950256708054	0
0	10	10	40	40	0	0.20000000298023224	0.20000000298023224	0	0.1331566423177719	0.16751451790332794	0.16184898978310672	0.19364334416525752	-0.028692347465334805	-0.026128826261929583	0
1	10	10	40	40	0.20000000298023224	0	0.20000000298023224	0	0.15057922899723053	0.16444726288318634	0.12025732608507265	0.14696264565544154	0.030321902912157875	0.017484617227744803	0
0	10	10	40	50	0.20000000298023224	0	0.10000000149011612	0	0.1270080953836441	0.1511646807193756	0.06779010599061176	0.0984813232002498	0.05921798939303234	0.05268335751912581	0
1	10	10	40	50	0.30000001192092896	0	0.20000000298023224	0	0.13927873969078064	0.1504364311695099	0.12791876960397006	0.17196264789061572	0.011359970086810584	-0.02152621672110583	0
0	10	10	40	60	0.20000000298023224	0	0.20000000298023224	0	0.11502274870872498	0.16390518844127655	0.12025732608507265	0.14696264565544154	-0.005234577376347679	0.016942542785835013	0
1	10	10	40	60	0.20000000298023224	0	0.20000000298023224	0	0.14926019310951233	0.16809146106243134	0.12025732608507265	0.14696264565544154	0.029002867024439674	0.021128815406989798	0
