#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#PSD_CaMKIIact	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
80	400	-0.0693806	-64.9999	0	0.0405832	1.34886e-36	3.21296e-31	5.47411e-37	0.82872	0.163942	0.00733754	0.0500423	0.0500332	104.501	0.000144109	104.504	0.000193396	0.277772	2.13947	1.96604	0.139661	1.96622	0.139661	0.0794712	0.0794763	0.00175947	0.0143192	0.0834066	0.00236104	0.014327	0.083407	0.716029	0.0137682	0.716124	0.0826552	6.26331	0.266787	0.277427	1.60143
90	400	-0.076192	-64.9999	0	0.0405832	1.33676e-36	3.18415e-31	5.42502e-37	0.828964	0.163709	0.00732709	0.0500419	0.0500329	104.328	0.000142964	104.332	0.00019185	0.276117	2.12388	1.95031	0.139668	1.9505	0.139668	0.0787564	0.0787615	0.00174535	0.0141427	0.0806621	0.00234198	0.0141504	0.0806625	0.70172	0.0140451	0.701812	0.084318	6.26833	0.264862	0.276769	1.58971
100	400	-0.0400408	-64.9999	0	0.0405832	1.32002e-36	3.14425e-31	5.35705e-37	0.827775	0.164847	0.00737806	0.0500438	0.0500344	105.169	0.000148813	105.173	0.000199739	0.285816	2.21632	2.03089	0.139632	2.03108	0.139632	0.0824126	0.0824178	0.0018175	0.0151114	0.0950306	0.00243929	0.0151193	0.0950308	0.772423	0.0127753	0.772524	0.0766948	6.24324	0.273675	0.279676	1.65192
10	500	-0.12695	-64.9999	0	0.0405832	1.65031e-36	3.93102e-31	6.69751e-37	0.837764	0.155286	0.00694995	0.0500276	0.0500216	98.1772	9.96978e-05	98.1808	0.0001334	0.252013	1.92185	1.40888	0.139898	1.40901	0.139898	0.051786	0.0517899	0.00121262	0.0101082	0.041628	0.00162241	0.0101152	0.0416284	0.525826	0.0186576	0.525896	0.112009	6.30276	0.250828	0.282556	1.50236
20	500	-0.134363	-64.9999	0	0.0405832	1.60857e-36	3.83158e-31	6.52809e-37	0.834692	0.158226	0.0070816	0.0500328	0.0500257	100.306	0.000115308	100.309	0.000154459	0.258469	1.97259	1.59719	0.139819	1.59734	0.13982	0.0615154	0.0615198	0.00140463	0.0113355	0.0474361	0.00188138	0.0113428	0.0474367	0.530159	0.0185081	0.530229	0.111112	6.31394	0.244683	0.275178	1.4896
30	500	-0.130091	-64.9999	0	0.0405832	1.57144e-36	3.74314e-31	6.37742e-37	0.833006	0.15984	0.00715388	0.0500355	0.0500278	101.485	0.000123352	101.489	0.000165326	0.262338	2.00373	1.69802	0.139776	1.69818	0.139777	0.0665247	0.0665293	0.00150364	0.012017	0.0530197	0.00201513	0.0120244	0.0530204	0.554911	0.0176969	0.554984	0.106242	6.31166	0.245673	0.272966	1.49696
40	500	-0.112501	-64.9999	0	0.0405832	1.54172e-36	3.67233e-31	6.25678e-37	0.830921	0.161835	0.0072432	0.0500387	0.0500303	102.951	0.000133068	102.954	0.000178464	0.267989	2.05101	1.82297	0.139723	1.82314	0.139723	0.0725777	0.0725825	0.00162333	0.0129479	0.063833	0.00217695	0.0129555	0.0638336	0.612809	0.0160511	0.61289	0.096361	6.29737	0.252382	0.273028	1.52723
50	500	-0.103797	-64.9999	0	0.0405832	1.51438e-36	3.60722e-31	6.14584e-37	0.830303	0.162427	0.0072697	0.0500395	0.050031	103.388	0.000135724	103.392	0.000182057	0.270026	2.0687	1.8591	0.139707	1.85928	0.139707	0.0742328	0.0742377	0.00165607	0.0132484	0.0681963	0.00222122	0.013256	0.0681969	0.637441	0.0154402	0.637525	0.0926933	6.29016	0.255677	0.273723	1.5422
60	500	-0.0622947	-64.9999	0	0.0405832	1.48983e-36	3.54875e-31	6.04623e-37	0.828285	0.164358	0.00735618	0.0500426	0.0500334	104.817	0.000145079	104.821	0.000194702	0.279938	2.15938	1.98564	0.139652	1.98583	0.139652	0.0800718	0.080077	0.00177141	0.0145021	0.0865624	0.00237711	0.0145099	0.0865628	0.733126	0.0134513	0.733223	0.0807527	6.25849	0.268514	0.27763	1.61362
70	500	-0.0558442	-64.9999	0	0.0405832	1.47874e-36	3.52232e-31	6.00119e-37	0.827987	0.164644	0.00736897	0.050043	0.0500338	105.029	0.000146366	105.033	0.000196439	0.281804	2.17685	2.00424	0.139643	2.00443	0.139644	0.0808755	0.0808807	0.00178728	0.014701	0.0893591	0.00239853	0.0147088	0.0893594	0.746376	0.0132155	0.746475	0.0793374	6.25411	0.270019	0.278023	1.62472
