#X	#Y	#DWt	#VmS	#PreSpike	#NMDA_Mg	#NMDA_Nopen	#NMDA_Jca	#NMDA_G	#NMDA_Nt0	#NMDA_Nt1	#NMDA_Nt2	#GluN2B	#Cyt_Ca	#PSD_Ca	#Cyt_CaM	#Cyt_Ca3CaM	#PSD_CaM	#PSD_Ca3CaM	#Cyt_CaMKIIact	#Cyt_CaMKII	#Cyt_CaMKIIP	#PSD_CaMKIIact	#PSD_CaMKII	#PSD_CaMKIIP	#PSD_CaMKIIn2b	#PSD_N2B_Ca0CaM_CaMKII	#PSD_N2B_Ca1CaM_CaMKII	#PSD_N2B_Ca0CaM_CaMKIIP	#PSD_N2B_Ca1CaM_CaMKIIP	#PSD_N2B_CaMKII	#PSD_N2B_CaMKIIP	#Cyt_DAPK1act	#Cyt_DAPK1_AutoK	#PSD_DAPK1act	#PSD_DAPK1_AutoK	#Cyt_CaNact	#PSD_CaNact	#Cyt_AC1act	#Cyt_cAMP	#Cyt_PKAact	#PSD_AC1act	#PSD_cAMP	#PSD_PKAact	#Cyt_I1P	#Cyt_PP1act	#PSD_I1P	#PSD_PP1act	#Int_AMPAR	#Mbr_AMPAR	#PSD_AMPAR	#Trp_AMPAR
10	400	-0.0917006	-64.9999	0	0.0405832	6.97617e-37	1.66172e-31	2.83118e-37	0.91929	0.0804401	0.000269574	113.784	0.0500025	0.050005	88.9923	3.54543e-05	88.997	3.87164e-05	0.0998349	19.2655	4.04834e-09	2.26821	19.3675	5.21698e-07	2.99291	2.89909	0.0371466	0.0454459	0.00257456	0.00294321	1.42944e-07	0.685855	0.140187	0.685855	0.140187	0.0346041	0.0346045	0.000432499	0.00577934	0.0431192	0.000472259	0.00578469	0.0431198	0.620557	0.0158549	0.620637	0.0951831	6.29383	0.248001	0.26891	1.56302
20	400	-0.0940716	-64.9999	0	0.0405832	6.88273e-37	1.63946e-31	2.79325e-37	0.919287	0.0804405	0.000272039	113.287	0.050003	0.0500056	88.9459	3.81351e-05	88.9505	4.16261e-05	0.0998999	19.2602	6.2322e-09	2.28914	19.3622	8.02709e-07	3.01886	2.89769	0.0371317	0.0707804	0.00400587	0.00294214	2.21181e-07	0.685855	0.140187	0.685855	0.140187	0.0391019	0.0391024	0.000465849	0.00607055	0.0468125	0.000508459	0.00607591	0.0468132	0.628591	0.0156554	0.628672	0.0939852	6.29744	0.246167	0.265878	1.55894
30	400	-0.0875762	-64.9999	0	0.0405832	6.78978e-37	1.61732e-31	2.75553e-37	0.919287	0.0804389	0.000274337	112.638	0.0500035	0.0500062	88.9001	4.06454e-05	88.9047	4.43454e-05	0.0999787	19.2531	8.91052e-09	2.31744	19.355	1.1471e-06	3.05396	2.89577	0.03711	0.10525	0.00593019	0.00294052	3.21846e-07	0.685855	0.140187	0.685855	0.140187	0.043293	0.0432935	0.000497088	0.00639259	0.0519933	0.000542302	0.00639796	0.0519939	0.654718	0.0150397	0.654803	0.0902891	6.29293	0.248147	0.264824	1.57012
40	400	-0.0749402	-64.9999	0	0.0405832	6.72257e-37	1.60131e-31	2.72826e-37	0.919288	0.0804357	0.000276165	111.958	0.0500038	0.0500067	88.8611	4.26539e-05	88.8657	4.65155e-05	0.100057	19.2452	1.15719e-08	2.34891	19.3471	1.48908e-06	3.09299	2.89365	0.0370852	0.143727	0.00805209	0.00293862	4.27739e-07	0.685855	0.140187	0.685855	0.140187	0.046632	0.0466326	0.00052209	0.00670977	0.0576892	0.00056932	0.00671515	0.0576898	0.689424	0.0142931	0.689513	0.0858065	6.28291	0.252555	0.265518	1.59186
50	400	-0.0629359	-64.9999	0	0.0405832	6.64078e-37	1.58183e-31	2.69507e-37	0.91929	0.0804323	0.000277272	111.434	0.0500041	0.050007	88.8358	4.38773e-05	88.8404	4.78335e-05	0.100114	19.2387	1.35526e-08	2.37448	19.3406	1.74346e-06	3.12472	2.89194	0.0370646	0.175074	0.00976583	0.00293703	5.10313e-07	0.685855	0.140187	0.685855	0.140187	0.0486596	0.0486602	0.000537322	0.00694712	0.0620896	0.000585733	0.00695251	0.0620901	0.717789	0.0137357	0.717883	0.0824604	6.27338	0.256617	0.266746	1.61252
60	400	-0.0376182	-64.9999	0	0.0405832	6.58966e-37	1.56966e-31	2.67432e-37	0.919297	0.0804235	0.00027902	110.321	0.0500044	0.0500075	88.7912	4.58302e-05	88.7958	4.99283e-05	0.100231	19.2244	1.77364e-08	2.43148	19.3261	2.28056e-06	3.19543	2.88814	0.0370182	0.245059	0.0135722	0.0029334	6.89959e-07	0.685855	0.140187	0.685855	0.140187	0.051887	0.0518875	0.000561645	0.00740727	0.0702861	0.000611827	0.00741266	0.0702864	0.769156	0.0128297	0.769256	0.0770214	6.25427	0.264136	0.269552	1.65609
70	400	-0.0181987	-64.9999	0	0.0405832	6.55806e-37	1.56213e-31	2.6615e-37	0.919306	0.0804144	0.000279973	109.367	0.0500046	0.0500078	88.7614	4.69182e-05	88.766	5.10848e-05	0.100327	19.2117	2.1326e-08	2.48217	19.3133	2.74119e-06	3.25832	2.88476	0.0369761	0.307417	0.0169523	0.00293008	8.47278e-07	0.685855	0.140187	0.685855	0.140187	0.0536799	0.0536805	0.000575197	0.00773715	0.07591	0.000626237	0.00774255	0.0759102	0.803535	0.0122873	0.803639	0.0737648	6.24069	0.268885	0.271443	1.6895
80	400	0.00205301	-64.9999	0	0.0405832	6.51187e-37	1.55113e-31	2.64275e-37	0.919317	0.0804018	0.000280716	108.189	0.0500048	0.050008	88.7312	4.77948e-05	88.7358	5.2004e-05	0.100446	19.1957	2.57703e-08	2.54589	19.2972	3.31131e-06	3.33737	2.88049	0.0369224	0.385894	0.0211997	0.00292582	1.04378e-06	0.685855	0.140187	0.685855	0.140187	0.0551222	0.0551228	0.000586119	0.0080681	0.0813311	0.000637694	0.0080735	0.0813313	0.835873	0.0118173	0.835981	0.0709433	6.22773	0.272786	0.272843	1.72435
90	400	0.0157779	-64.9999	0	0.0405832	6.48447e-37	1.5446e-31	2.63163e-37	0.919328	0.0803911	0.000281107	107.232	0.0500049	0.0500082	88.71	4.82797e-05	88.7146	5.25031e-05	0.100543	19.1826	2.93938e-08	2.5981	19.284	3.77597e-06	3.40214	2.87697	0.0368778	0.45025	0.0246806	0.00292228	1.20446e-06	0.685855	0.140187	0.685855	0.140187	0.0559194	0.05592	0.000592161	0.00828612	0.0847794	0.000643917	0.00829152	0.0847795	0.855905	0.0115438	0.856015	0.0693012	6.21975	0.274746	0.273307	1.74797
100	400	0.0388385	-64.9999	0	0.0405832	6.42184e-37	1.52968e-31	2.60621e-37	0.91935	0.0803681	0.000281529	105.287	0.050005	0.0500084	88.6726	4.88629e-05	88.6771	5.30793e-05	0.100747	19.1558	3.67719e-08	2.70492	19.2569	4.72167e-06	3.53465	2.86969	0.0367851	0.582036	0.031804	0.0029149	1.53253e-06	0.685855	0.140187	0.685855	0.140187	0.0568782	0.0568788	0.00059943	0.00862327	0.0899981	0.000651106	0.00862867	0.0899981	0.886047	0.0111553	0.88616	0.0669687	6.20773	0.276875	0.273169	1.78765
