$Cond	#ErrDWt	#Trial	#Cycle	#SSpike	#RSpike	#SnmdaO	#SnmdaI	#Ge	#Inet	#Vm	#Act	#Gk	#ISI	#VmDend	#Gnmda	#RnmdaSyn	#RCa	#R_CaM	#R_CaP	#R_CaD	#S_CaM	#S_CaP	#S_CaD	#P_Ca	#P_CaM	#P_CaP	#P_CaD	#P_CaDMax	#P_TDWt	#P_DWt	#P_Wt	#X_Ca	#X_CaM	#X_CaP	#X_CaD	#X_CaDMax	#X_TDWt	#X_DWt	#X_Wt	#N_Ca	#N_CaM	#N_CaP	#N_CaD	#N_CaDMax	#N_TDWt	#N_DWt	#N_Wt	#O_Ca	#O_CaM	#O_CaP	#O_CaD	#O_CaDMax	#O_TDWt	#O_DWt	#O_Wt
	0	0	51	0	0	0.5914	0	0.5016	2.94e-07	0.1841	0	0	31	0.1841	0.001621	0.5	0	0.03097	0.1557	0.1425	0.2053	0.1927	0.1221	0	0.006359	0.03001	0.0174	0	0	0.04416	0.5	0	0.006404	0.01875	0.0109	0.0109	-0.03041	0	0.5	0	6.904e-06	0.000457	0.0003288	0.0003288	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	52	0	0	0.568	0	0.5016	2.147e-07	0.1841	0	0	32	0.1841	0.001621	0.5	0	0.02788	0.1525	0.1428	0.1848	0.1925	0.1238	0	0.005151	0.02937	0.01768	0	0	0.04416	0.5	0	0.005123	0.01841	0.01108	0.01108	-0.03041	0	0.5	0	5.523e-06	0.0004457	0.0003318	0.0003318	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	53	0	0	0.5455	0	0.5016	2.452e-07	0.1841	0	0	33	0.1841	0.001621	0.5	0	0.02509	0.1494	0.143	0.1663	0.1919	0.1255	0	0.004172	0.02866	0.01794	0	0	0.04416	0.5	0	0.004098	0.01805	0.01126	0.01126	-0.03041	0	0.5	0	4.419e-06	0.0004347	0.0003343	0.0003343	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	54	0	0	0.5239	0	0.5016	2.027e-07	0.1841	0	0	34	0.1841	0.001621	0.5	0	0.02258	0.1462	0.143	0.1497	0.1908	0.1271	0	0.00338	0.02789	0.01819	0	0	0.04416	0.5	0	0.003279	0.01768	0.01142	0.01142	-0.03041	0	0.5	0	3.535e-06	0.0004239	0.0003366	0.0003366	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	55	0	0	0.5031	0	0.5016	2.775e-07	0.1841	0	0	35	0.1841	0.001621	0.5	0	0.02032	0.143	0.143	0.1347	0.1894	0.1287	0	0.002738	0.02709	0.01841	0	0	0.04416	0.5	0	0.002623	0.01731	0.01157	0.01157	-0.03041	0	0.5	0	2.828e-06	0.0004134	0.0003385	0.0003385	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	56	0	0	0.4832	0	0.5016	1.869e-07	0.1841	0	0	36	0.1841	0.001621	0.5	0	0.01829	0.1399	0.143	0.1212	0.1877	0.1302	0	0.002217	0.02626	0.01861	0	0	0.04416	0.5	0	0.002098	0.01693	0.0117	0.0117	-0.03041	0	0.5	0	2.262e-06	0.0004031	0.0003401	0.0003401	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	57	0	0	0.4641	0	0.5016	2.83e-07	0.1841	0	0	37	0.1841	0.001621	0.5	0	0.01646	0.1368	0.1428	0.1091	0.1857	0.1316	0	0.001796	0.02541	0.01879	0	0	0.04416	0.5	0	0.001679	0.01654	0.01182	0.01182	-0.03041	0	0.5	0	1.81e-06	0.0003931	0.0003414	0.0003414	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	58	0	0	0.4457	0	0.5016	2.656e-07	0.1841	0	0	38	0.1841	0.001621	0.5	0	0.01481	0.1338	0.1426	0.0982	0.1835	0.1329	0	0.001455	0.02456	0.01894	0	0	0.04416	0.5	0	0.001343	0.01616	0.01193	0.01193	-0.03041	0	0.5	0	1.448e-06	0.0003833	0.0003425	0.0003425	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	59	0	0	0.4281	0	0.5016	1.927e-07	0.1841	0	0	39	0.1841	0.001621	0.5	0	0.01333	0.1308	0.1423	0.08838	0.1812	0.1341	0	0.001178	0.02369	0.01908	0	0	0.04416	0.5	0	0.001074	0.01579	0.01203	0.01203	-0.03041	0	0.5	0	1.158e-06	0.0003737	0.0003433	0.0003433	-0.004431	0	0.5	0	0	0	0	0	0	0	0.5
	0	0	60	0	0.1	0.4111	0	0.5016	0.1954	0.2536	0	0	0	0.2021	0.001621	0.5	0.008303	0.812	0.1478	0.1424	0.07955	0.1786	0.1352	0	0.06459	0.0264	0.01925	0	0	0.04416	0.5	0.5627	0.1134	0.01823	0.01218	0.01218	-0.03177	0	0.5	0.04096	0.008193	0.0005692	0.0003489	0.0003489	-0.005123	0	0.5	0	0	0	0	0	0	0	0.5
