|Expt	|Run	|Epoch	$RunName	#NCorrect	#RewPred	#Rew	#RPE	#PerTrlMSec
0	7	11	2024-02-29-seq3x5pgi_49u_good_Base	1.82	0.1496	0.4271	0.2803	57.95
0	7	12	2024-02-29-seq3x5pgi_49u_good_Base	2.266	0.1788	0.612	0.4376	56.81
0	7	13	2024-02-29-seq3x5pgi_49u_good_Base	2.977	0.2311	0.9922	0.7688	60.12
0	8	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9297	0.1021	0.1094	0.007671	0
0	8	1	2024-02-29-seq3x5pgi_49u_good_Base	0.9375	0.1047	0.1302	0.02582	60.78
0	8	2	2024-02-29-seq3x5pgi_49u_good_Base	0.7031	0.1064	0.09896	-0.007363	62.21
0	8	3	2024-02-29-seq3x5pgi_49u_good_Base	0.7109	0.108	0.1406	0.03309	62.62
0	8	4	2024-02-29-seq3x5pgi_49u_good_Base	1.258	0.1158	0.2578	0.1435	61.43
0	8	5	2024-02-29-seq3x5pgi_49u_good_Base	2.438	0.1454	0.7188	0.5791	62.3
0	8	6	2024-02-29-seq3x5pgi_49u_good_Base	2.859	0.203	0.9375	0.7419	64.62
0	8	7	2024-02-29-seq3x5pgi_49u_good_Base	2.953	0.2607	0.9635	0.7099	65.03
0	8	8	2024-02-29-seq3x5pgi_49u_good_Base	2.992	0.316	0.9974	0.6883	64.8
0	9	0	2024-02-29-seq3x5pgi_49u_good_Base	0.8281	0.1017	0.09896	-0.002454	0
0	9	1	2024-02-29-seq3x5pgi_49u_good_Base	0.6562	0.1035	0.1328	0.02986	59.96
0	9	2	2024-02-29-seq3x5pgi_49u_good_Base	0.7188	0.1062	0.08333	-0.02296	60.75
0	9	3	2024-02-29-seq3x5pgi_49u_good_Base	0.9062	0.107	0.138	0.03144	61.25
0	9	4	2024-02-29-seq3x5pgi_49u_good_Base	2.148	0.1275	0.5625	0.4394	61.92
0	9	5	2024-02-29-seq3x5pgi_49u_good_Base	2.953	0.1811	0.9844	0.8114	62.7
0	10	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9609	0.1033	0.1328	0.03013	0
0	10	1	2024-02-29-seq3x5pgi_49u_good_Base	0.8203	0.1056	0.1016	-0.004	62.82
0	10	2	2024-02-29-seq3x5pgi_49u_good_Base	0.6094	0.1058	0.09115	-0.01463	61.51
0	10	3	2024-02-29-seq3x5pgi_49u_good_Base	0.2891	0.1046	0.03906	-0.06588	61.49
0	10	4	2024-02-29-seq3x5pgi_49u_good_Base	0.5547	0.1031	0.08073	-0.0221	59.15
0	10	5	2024-02-29-seq3x5pgi_49u_good_Base	1.406	0.1138	0.2578	0.1454	58.55
0	10	6	2024-02-29-seq3x5pgi_49u_good_Base	1.289	0.1218	0.2188	0.09792	56.16
0	10	7	2024-02-29-seq3x5pgi_49u_good_Base	1.492	0.1316	0.3073	0.1775	57.21
0	10	8	2024-02-29-seq3x5pgi_49u_good_Base	2.188	0.1546	0.5703	0.42	60.06
0	10	9	2024-02-29-seq3x5pgi_49u_good_Base	2.773	0.2012	0.8776	0.6833	59.17
0	10	10	2024-02-29-seq3x5pgi_49u_good_Base	2.992	0.2614	0.9922	0.7381	59.41
0	11	0	2024-02-29-seq3x5pgi_49u_good_Base	0.02344	0.1	0.002604	-0.09743	0
0	11	1	2024-02-29-seq3x5pgi_49u_good_Base	0.8828	0.1033	0.1536	0.05141	60.77
0	11	2	2024-02-29-seq3x5pgi_49u_good_Base	1.039	0.1128	0.1875	0.07552	60.42
0	11	3	2024-02-29-seq3x5pgi_49u_good_Base	1.281	0.1195	0.2734	0.1555	60.43
0	11	4	2024-02-29-seq3x5pgi_49u_good_Base	2.688	0.1553	0.8542	0.7059	62.54
0	11	5	2024-02-29-seq3x5pgi_49u_good_Base	2.961	0.2181	0.9766	0.7661	62.51
0	11	6	2024-02-29-seq3x5pgi_49u_good_Base	2.984	0.2775	0.9896	0.7193	63.54
0	12	0	2024-02-29-seq3x5pgi_49u_good_Base	0.2969	0.1004	0.03385	-0.06635	0
0	12	1	2024-02-29-seq3x5pgi_49u_good_Base	0.7422	0.1018	0.08073	-0.02084	62.35
0	12	2	2024-02-29-seq3x5pgi_49u_good_Base	1	0.1063	0.1406	0.03482	60.81
0	12	3	2024-02-29-seq3x5pgi_49u_good_Base	0.6797	0.1059	0.1172	0.0115	69.57
0	12	4	2024-02-29-seq3x5pgi_49u_good_Base	2.445	0.1315	0.7135	0.5879	86.84
0	12	5	2024-02-29-seq3x5pgi_49u_good_Base	2.672	0.1833	0.8151	0.6381	86.13
0	12	6	2024-02-29-seq3x5pgi_49u_good_Base	2.422	0.2255	0.6719	0.4509	86.99
0	12	7	2024-02-29-seq3x5pgi_49u_good_Base	2.789	0.2691	0.862	0.5989	88.82
0	12	8	2024-02-29-seq3x5pgi_49u_good_Base	2.742	0.3153	0.8724	0.5628	86.27
0	12	9	2024-02-29-seq3x5pgi_49u_good_Base	2.742	0.359	0.8672	0.5133	86.83
0	12	10	2024-02-29-seq3x5pgi_49u_good_Base	2.922	0.4019	0.9531	0.5568	85.94
0	12	11	2024-02-29-seq3x5pgi_49u_good_Base	2.969	0.4459	0.9844	0.5439	83.97
0	13	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9688	0.1014	0.08333	-0.01776	0
0	13	1	2024-02-29-seq3x5pgi_49u_good_Base	0.8906	0.1031	0.09375	-0.00918	59.67
0	13	2	2024-02-29-seq3x5pgi_49u_good_Base	0.4453	0.1037	0.0651	-0.03858	60.41
